name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance
,,,,,,,,,,
Aqua Moto Racing Utopia,40,Zordix AB,Zordix AB,1043,782,0,3.43,226,70,240.25
,,,,,,,,,,
The Mahjong Huntress,16,Nawia Games,Forever Entertainment S. A.,60653,39648,1184,1.55,130,54.89,19.1
,,,,,,,,,,
Blameless,56,Vaclav Hudec,Vaclav Hudec,405665,289348,2888,5.51,-1,0,-1
,,,,,,,,,,
Day One : Garry's Incident,0,Wild Games Studio,Wild Games Studio,91239,63607,0,0.24,108,51.62,68.66
,,,,,,,,,,
Goalie Challenge VR,89,"Josh Beatty, Mike Casto",modulR,12866,7877,1569,17.67,-1,0,-1
,,,,,,,,,,
No More Room in Hell,71,No More Room in Hell Team,Lever Games,8835327,5729811,103230,8.71,-1,0,-1
,,,,,,,,,,
Doodle God: 8-bit Mania - Collector's Item,13,JoyBits Ltd.,JoyBits Ltd.,25469,21793,0,1.33,96,89.25,570.02
,,,,,,,,,,
Magicka: Wizard Wars,,Paradox North,Paradox Interactive,3598474,1964260,1838,5.69,-1,0,-1
,,,,,,,,,,
Blue Sheep,6,Noetic Games,Noetic Games,5474,4171,0,0.79,-1,0,-1
,,,,,,,,,,
Goats on a Bridge,37,Cabygon,Degica,63867,22940,784,3.03,79,92.55,21.71
,,,,,,,,,,
Winter Sports Trilogy Super Pack,47,49 Games,Retroism,7038,3128,0,4,53,49.06,18.93
,,,,,,,,,,
Odyssey Reborn,,"MCDERMOTT TECHNOLOGY, L.L.C","MCDERMOTT TECHNOLOGY, L.L.C",45424,13391,0,0.72,-1,0,-1
,,,,,,,,,,
Dunia: Masters,,Team Wood Block,Team Wood Block,1050,785,0,0,108,68.5,3.12
,,,,,,,,,,
Sins of a Solar Empire: Rebellion,86,"Ironclad Games, Stardock Entertainment",Stardock Entertainment,991976,847302,26519,14.28,43,40.35,149.72
,,,,,,,,,,
Thief: Deadly Shadows,62,Ion Storm,Square Enix,663699,241132,1176,6.54,44,49.98,228.79
,,,,,,,,,,
Demon Peak,21,Kajak Games,Kajak Games,5214,3650,0,1.85,108,0,-1
,,,,,,,,,,
Point Perfect,33,Highcastle Studios,Plug In Digital,37278,25286,0,2.72,79,75.36,487.85
,,,,,,,,,,
The Final Station,56,"Oleg Sergeev, Andrey Rumak, Do My Best",tinyBuild,175179,117047,2868,5.56,43,53.78,16.6
,,,,,,,,,,
Simple Light Cycles,,Kelsam,Kelsam,795,0,0,0,79,29,0.5
,,,,,,,,,,
Super Mega Neo Pug,51,"SnowFlame, Back To Basics Gaming",Back To Basics Gaming,409794,309431,2085,4.75,22,65.56,20.08
,,,,,,,,,,
Quadrilateral Cowboy,71,Blendo Games,Blendo Games,24504,19812,784,8.51,43,64.12,418.69
,,,,,,,,,,
Pof,42,Arkedo,Neko Entertainment,45687,28095,0,3.57,411,81.29,268.28
,,,,,,,,,,
Far Cry 3 - Blood Dragon,67,Ubisoft Montreal,Ubisoft,1228599,881630,12513,7.74,17,38.49,32.68
,,,,,,,,,,
Rolling Gauntlet,,Aundre Rogers,Aundre Rogers,4201,0,0,0.33,724,0,-1
,,,,,,,,,,
UFO: Aftershock,30,ALTAR Interactive,1C Company,72468,13653,0,2.5,226,90.15,41.24
,,,,,,,,,,
The Occupant,,"Agency Principle, Purple Pwny Studios",Agency Principle,1184,785,0,0,-1,0,-1
,,,,,,,,,,
Shu,56,"Coatsink, Secret Lunch",Coatsink,58654,15120,784,5.29,45,56.62,133.05
,,,,,,,,,,
